城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
大连,1,10路区,10路区间(早高峰)(黄河桥--数码广场),1,1,4.430000,黄河桥,数码广场,普通公交,0700,0730
大连,2,10路区,10路区间(早高峰)(数码广场--黄河桥),1,1,4.57081,数码广场,黄河桥,普通公交,0700,0730
大连,1,8路,8路(五四广场--姚家),1,1,16.883000,五四广场,姚家,普通公交,0530,2230
大连,2,8路,8路(姚家--五四广场),1,1,16.124000,姚家,五四广场,普通公交,0440,2140
大连,1,33路,33路(东北财经大学--泡崖八区),1,1,15.136000,东北财经大学,泡崖八区,普通公交,0600,2150
大连,2,33路,33路(泡崖八区--东北财经大学),1,1,15.176000,泡崖八区,东北财经大学,普通公交,0510,2100
大连,1,快速公交,快速公交(兴工街--张前北路),1,1,14.470000,兴工街,张前北路,[],0530,2200
大连,2,快速公交,快速公交(张前北路--兴工街),1,1,13.450000,张前北路,兴工街,[],0500,2130
大连,1,35路,35路(二十四城A区--五一广场),1,1,13.965000,二十四城A区,五一广场,普通公交,[],[]
大连,2,35路,35路(五一广场--二十四城A区),1,1,13.331000,五一广场,二十四城A区,普通公交,[],[]
大连,1,505路,505路(武昌小区--彩霞园),1,1,13.309000,武昌小区,彩霞园,普通公交,0600,2000
大连,2,505路,505路(彩霞园--武昌小区),1,1,13.570000,彩霞园,武昌小区,普通公交,0600,1930
大连,1,26路,26路(凌水客运站--五一广场),1,1,10.875000,凌水客运站,五一广场,普通公交,[],[]
大连,2,26路,26路(五一广场--凌水客运站),1,1,10.850000,五一广场,凌水客运站,普通公交,[],[]
大连,1,520路,520路(奥林匹克广场--山屏街),1,1,9.685000,奥林匹克广场,山屏街,普通公交,[],[]
大连,2,520路,520路(山屏街--奥林匹克广场),1,1,9.911000,山屏街,奥林匹克广场,普通公交,[],[]
大连,1,709路,709路(马栏广场--祥和桥西),1,1,11.705000,马栏广场,祥和桥西,普通公交,0600,2130
大连,2,709路,709路(祥和桥西--马栏广场),1,1,11.663000,祥和桥西,马栏广场,普通公交,0530,2100
大连,1,705路,705路(香炉礁地铁站--棠梨西街),1,1,16.461000,香炉礁地铁站,棠梨西街,普通公交,[],[]
大连,2,705路,705路(棠梨西街--香炉礁地铁站),1,1,17.186000,棠梨西街,香炉礁地铁站,普通公交,[],[]
大连,1,411路,411路(青泥洼桥--绿波小区),1,1,7.309000,青泥洼桥,绿波小区,普通公交,0540,2325
大连,2,411路,411路(绿波小区--青泥洼桥),1,1,8.015000,绿波小区,青泥洼桥,普通公交,0515,2300
城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
大连,1,1123,1123路(迎福谷--黑石礁),1,1,13.288000,迎福谷,黑石礁,普通公交,[],[]
大连,2,1123,1123路(黑石礁--迎福谷),1,1,11.972000,黑石礁,迎福谷,普通公交,[],[]
大连,1,4路区间,4路区间车(五一广场--老虎滩),1,1,9.021000,五一广场,老虎滩,普通公交,1545,1558
大连,2,4路区间,4路区间车(老虎滩--五一广场),1,1,9.063000,老虎滩,五一广场,普通公交,1540,1553
大连,1,535路,535路(区间车)(南岔鞍--马栏广场),1,1,16.671000,南岔鞍,马栏广场,普通公交,[],[]
大连,2,535路,535路(区间车)(马栏广场--南岔鞍),1,1,16.730000,马栏广场,南岔鞍,普通公交,[],[]
大连,1,23路,23路(山林街--理工大学东门),1,1,14.742000,山林街,理工大学东门,普通公交,0600,2210
大连,2,23路,23路(理工大学东门--山林街),1,1,13.984000,理工大学东门,山林街,普通公交,0540,2150
大连,1,533路,533路(凌水路--安民街),1,1,13.785000,凌水路,安民街,普通公交,[],[]
大连,2,533路,533路(安民街--凌水路),1,1,13.891000,安民街,凌水路,普通公交,[],[]
大连,1,3路大站,3路大站快车(聚贤路--马栏广场),1,1,15.929000,聚贤路,马栏广场,普通公交,[],[]
大连,2,3路大站,3路大站快车(马栏广场--希贤街),1,1,15.388000,马栏广场,希贤街,普通公交,0600,2130
大连,1,705路,705路(加车)(兴工街--张前路南),1,1,8.951000,兴工街,张前路南,普通公交,[],[]
大连,2,705路,705路(加车)(张前路南--兴工街),1,1,9.377000,张前路南,兴工街,普通公交,[],[]
大连,1,李家街道,64路(青塔小区--公主坟西),2,2,6.300000,青塔小区,公主坟西,普通公交,[],[]
大连,2,李家街道,64路(公主坟西--青塔小区),2,2,5.59850,公主坟西,青塔小区,普通公交,[],[]
大连,1,长江路与,松江60路(松江汽车东站--车墩公交枢纽站),1,1,15.033000,松江汽车东站,车墩公交枢纽站,普通公交,[],[]
大连,2,长江路与,松江60路(车墩中心站--松江汽车东站),1,1,14.931000,车墩中心站,松江汽车东站,普通公交,[],[]
大连,1,1103,1103路(建设街--龙畔金泉),1,1,21.885000,建设街,龙畔金泉,普通公交,0545,2200
大连,2,1103,1103路(龙畔金泉--建设街),1,1,22.093000,龙畔金泉,建设街,普通公交,0450,2100
大连,1,808路,808路(上环)(和平广场--星雨街西),1,1,2.739000,和平广场,星雨街西,普通公交,0730,1930
大连,1,19路,19路(中山广场--华南广场),1,1,14.929000,中山广场,华南广场,普通公交,[],[]
大连,2,19路,19路(华南广场--中山广场),1,1,15.441000,华南广场,中山广场,普通公交,[],[]
大连,1,地铁商务,地铁商务快线(大华锦绣华城--马栏广场地铁站),3,3,4.742000,大华锦绣华城,马栏广场地铁站,普通公交,[],[]
大连,2,地铁商务,地铁商务快线(马栏广场地铁站--大华锦绣华城),3,3,5.589000,马栏广场地铁站,大华锦绣华城,普通公交,[],[]
大连,1,1101,1101路(建设街--大黑石),1,2,35.568000,建设街,大黑石,普通公交,0500,2140
大连,2,1101,1101路(大黑石--建设街),1,2,36.468000,大黑石,建设街,普通公交,0430,2100
大连,1,沈阳-大,沈阳-大连开发区(沈阳北站--大连火车站南广场),0,100,402.14932,沈阳北站,大连火车站南广场,普通公交,[],[]
大连,1,10路加,10路加车(黄河桥)(百合山庄--黄河桥),1,1,9.791000,百合山庄,黄河桥,普通公交,[],[]
大连,2,10路加,10路加车(黄河桥)(黄河桥--百合山庄),1,1,9.825000,黄河桥,百合山庄,普通公交,[],[]
大连,1,21路,21路(香炉礁地铁站--龙华路地铁站),1,1,15.478000,香炉礁地铁站,龙华路地铁站,普通公交,0620,2210
大连,2,21路,21路(龙华路地铁站--香炉礁地铁站),1,1,16.045000,龙华路地铁站,香炉礁地铁站,普通公交,0530,2115
大连,1,505路,505路区间(晚高峰)(兴工街--彩霞园),1,1,5.976000,兴工街,彩霞园,普通公交,1630,1730
大连,2,505路,505路区间(晚高峰)(彩霞园--兴工街),1,1,6.200000,彩霞园,兴工街,普通公交,1630,1730
大连,1,17路,17路(石葵路西--沙河口火车站),1,1,6.622000,石葵路西,沙河口火车站,普通公交,0600,2000
大连,2,17路,17路(沙河口火车站--石葵路西),1,1,6.748000,沙河口火车站,石葵路西,普通公交,0545,2120
大连,1,15路,15路(星海公园--明泽街),1,1,11.224000,星海公园,明泽街,普通公交,0405,2325
大连,2,15路,15路(明泽街--星海公园),1,1,11.353000,明泽街,星海公园,普通公交,0435,2355
